Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,SCA IEH,"PO18-ABATE AND REPLACE THE FLOOR IN THE FOLLOWING ROOMS: 202, 208, 210, 212, 315, 402, 406, 408,  50",Construction,In-Progress,7/19/2024,IEH,,IEH,816.00,241.00,SCA0000073155
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,195734.00,0.00,DSF0001086173
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,DOES,,DOES,407270.00,0.00,DSF0001017369
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,70899.00,70899.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,362786.00,298189.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7114234.00,4049545.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,152212.00,151513.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,1518.00,1518.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,6074.00,6074.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/27/2024,5/26/2025,,245920,224898.00,4211.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/27/2024,5/26/2025,,49844,31896.00,9000.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,141466.00,0.00,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000.00,0.00,DSF0001086175
